
WAVE HEADER INFORMATION: simple440add1000.wav
Sample Rate:  44100 Hz
Amp Width:  2
Number of Channels:  2 channels
Number of Frames:  88200 frames
comptype :  NONE
compname :  not compressed
debug TranLossPrecent   480 0.14677992676220694
debug TranLossPrecent   481 0.14736663552109672
debug TranLossPrecent   482 0.1479532404068856
debug TranLossPrecent   483 0.14853973681942248
debug TranLossPrecent   484 0.149126120200207
debug TranLossPrecent   485 0.1497123860321004
debug TranLossPrecent   486 0.15029852983903796
debug TranLossPrecent   487 0.15088454718574268
debug TranLossPrecent   488 0.15147043367743976
debug TranLossPrecent   489 0.15205618495957327
debug TranLossPrecent   490 0.15264179671752334
debug TranLossPrecent   491 0.15322726467632514
debug TranLossPrecent   492 0.15381258460038907
debug TranLossPrecent   493 0.15439775229322225
debug TranLossPrecent   494 0.1549827635971514
debug TranLossPrecent   495 0.1555676143930472
debug TranLossPrecent   496 0.15615230060004973
debug TranLossPrecent   497 0.15673681817529556
debug TranLossPrecent   498 0.1573211631136462
debug TranLossPrecent   499 0.15790533144741756
debug TranLossPrecent   500 0.15848931924611134
debug TranLossPrecent   501 0.1590731226161475
debug TranLossPrecent   502 0.15965673770059802
debug TranLossPrecent   503 0.16024016067892233
debug TranLossPrecent   504 0.16082338776670418
debug TranLossPrecent   505 0.16140641521538932
debug TranLossPrecent   506 0.16198923931202547
debug TranLossPrecent   507 0.16257185637900298
debug TranLossPrecent   508 0.16315426277379733
debug TranLossPrecent   509 0.16373645488871272
debug TranLossPrecent   510 0.16431842915062736
debug TranLossPrecent   511 0.16490018202074005
debug TranLossPrecent   512 0.16548170999431816
debug TranLossPrecent   513 0.166063009600447
debug TranLossPrecent   514 0.16664407740178078
debug TranLossPrecent   515 0.16722490999429473
debug TranLossPrecent   516 0.16780550400703884
debug TranLossPrecent   517 0.16838585610189302
debug TranLossPrecent   518 0.16896596297332345
debug TranLossPrecent   519 0.1695458213481407
debug TranLossPrecent   520 0.17012542798525887
debug TranLossPrecent   521 0.1707047796754566
debug TranLossPrecent   522 0.171283873241139
debug TranLossPrecent   523 0.17186270553610136
debug TranLossPrecent   524 0.1724412734452941
debug TranLossPrecent   525 0.17301957388458944
debug TranLossPrecent   526 0.17359760380054867
debug TranLossPrecent   527 0.17417536017019186
debug TranLossPrecent   528 0.1747528400007684
debug TranLossPrecent   529 0.17533004032952879
debug TranLossPrecent   530 0.17590695822349833
debug TranLossPrecent   531 0.17648359077925188
debug TranLossPrecent   532 0.1770599351226899
debug TranLossPrecent   533 0.17763598840881625
debug TranLossPrecent   534 0.17821174782151714
debug TranLossPrecent   535 0.17878721057334157
debug TranLossPrecent   536 0.17936237390528273
debug TranLossPrecent   537 0.17993723508656173
debug TranLossPrecent   538 0.18051179141441154
debug TranLossPrecent   539 0.18108604021386315
debug TranLossPrecent   540 0.18165997883753277
debug TranLossPrecent   541 0.18223360466541041
debug TranLossPrecent   542 0.18280691510464986
debug TranLossPrecent   543 0.18337990758935993
debug TranLossPrecent   544 0.18395257958039712
debug TranLossPrecent   545 0.18452492856515976
debug TranLossPrecent   546 0.18509695205738314
debug TranLossPrecent   547 0.18566864759693627
debug TranLossPrecent   548 0.18624001274962002
debug TranLossPrecent   549 0.1868110451069662
debug TranLossPrecent   550 0.1873817422860384
debug TranLossPrecent   551 0.18795210192923395
debug TranLossPrecent   552 0.1885221217040871
debug TranLossPrecent   553 0.18909179930307363
debug TranLossPrecent   554 0.18966113244341676
debug TranLossPrecent   555 0.19023011886689448
debug TranLossPrecent   556 0.19079875633964766
debug TranLossPrecent   557 0.19136704265199012
debug TranLossPrecent   558 0.1919349756182196
debug TranLossPrecent   559 0.19250255307643
debug TranLossPrecent   560 0.19306977288832503
debug TranLossPrecent   561 0.19363663293903294
debug TranLossPrecent   562 0.1942031311369228
debug TranLossPrecent   563 0.19476926541342174
debug TranLossPrecent   564 0.1953350337228335
debug TranLossPrecent   565 0.19590043404215843
debug TranLossPrecent   566 0.19646546437091433
debug TranLossPrecent   567 0.19703012273095916
debug TranLossPrecent   568 0.197594407166314
debug TranLossPrecent   569 0.19815831574298823
debug TranLossPrecent   570 0.19872184654880554
debug TranLossPrecent   571 0.19928499769323063
debug TranLossPrecent   572 0.19984776730719808
debug TranLossPrecent   573 0.20041015354294156
debug TranLossPrecent   574 0.20097215457382475
debug TranLossPrecent   575 0.20153376859417332
debug TranLossPrecent   576 0.2020949938191078
debug TranLossPrecent   577 0.20265582848437805
debug TranLossPrecent   578 0.2032162708461988
debug TranLossPrecent   579 0.20377631918108582
debug TranLossPrecent   580 0.20433597178569418
debug TranLossPrecent   581 0.20489522697665688
debug TranLossPrecent   582 0.2054540830904248
debug TranLossPrecent   583 0.2060125384831081
debug TranLossPrecent   584 0.2065705915303184
debug TranLossPrecent   585 0.2071282406270121
debug TranLossPrecent   586 0.20768548418733518
debug TranLossPrecent   587 0.20824232064446863
debug TranLossPrecent   588 0.2087987484504751
debug TranLossPrecent   589 0.20935476607614706
debug TranLossPrecent   590 0.20991037201085547
debug TranLossPrecent   591 0.21046556476239986
debug TranLossPrecent   592 0.21102034285685956
debug TranLossPrecent   593 0.2115747048384456
debug TranLossPrecent   594 0.2121286492693542
debug TranLossPrecent   595 0.21268217472962095
debug TranLossPrecent   596 0.2132352798169761
debug TranLossPrecent   597 0.213787963146701
debug TranLossPrecent   598 0.21434022335148567
debug TranLossPrecent   599 0.21489205908128697
debug TranLossPrecent   600 0.2154434690031884
debug TranLossPrecent   601 0.21599445180126037
debug TranLossPrecent   602 0.21654500617642192
debug TranLossPrecent   603 0.21709513084630325
debug TranLossPrecent   604 0.21764482454510906
debug TranLossPrecent   605 0.21819408602348345
debug TranLossPrecent   606 0.2187429140483751
